39265436,2800224,40724883,2800224,40724883,27199775,39265436,27199775,39265436,2875224
37455915,3003803,42534408,3003803,42534408,26996196,37455915,26996196,37455915,3078803
36818123,3003803,43172200,3003803,43172200,26996196,36818123,26996196,36818123,3078803
36180329,3003803,43809992,3003803,43809992,26996196,36180329,26996196,36180329,3078803
35552591,3003803,44437732,3003803,44437732,26996196,35552591,26996196,35552591,3078803
35100597,3003803,44889724,3003803,44889724,26996196,35100597,26996196,35100597,3078803
34648603,3003803,45341720,3003803,45341720,26996196,34648603,26996196,34648603,3078803
34196609,3003803,45793712,3003803,45793712,26996196,34196609,26996196,34196609,3078803
33744615,3003803,46245708,3003803,46245708,26996196,33744615,26996196,33744615,3078803
38653353,7912541,41336969,7912541,41336969,22087457,38653353,22087457,38653353,7987541
33292623,3003803,46697700,3003803,46697700,26996196,33292623,26996196,33292623,3078803
38201361,7912541,41788961,7912541,41788961,22087457,38201361,22087457,38201361,7987541
32911417,3003803,47078908,3003803,47078908,26996196,32911417,26996196,32911417,3078803
37820155,7912541,42170169,7912541,42170169,22087457,37820155,22087457,37820155,7987541
32563583,3003803,47426740,3003803,47426740,26996196,32563583,26996196,32563583,3078803
37472321,7912541,42518001,7912541,42518001,22087457,37472321,22087457,37472321,7987541
32215749,3003803,47774576,3003803,47774576,26996196,32215749,26996196,32215749,3078803
37124487,7912541,42865837,7912541,42865837,22087457,37124487,22087457,37124487,7987541
31867915,3003803,48122408,3003803,48122408,26996196,31867915,26996196,31867915,3078803
36776653,7912541,43213669,7912541,43213669,22087457,36776653,22087457,36776653,7987541
31520081,3003803,48470240,3003803,48470240,26996196,31520081,26996196,31520081,3078803
36428819,7912541,43561501,7912541,43561501,22087457,36428819,22087457,36428819,7987541
31172247,3003803,48818076,3003803,48818076,26996196,31172247,26996196,31172247,3078803
36080985,7912541,43909337,7912541,43909337,22087457,36080985,22087457,36080985,7987541
30824411,3003803,49165908,3003803,49165908,26996196,30824411,26996196,30824411,3078803
35733149,7912541,44257169,7912541,44257169,22087457,35733149,22087457,35733149,7987541
30530581,3003803,49459740,3003803,49459740,26996196,30530581,26996196,30530581,3078803
35439319,7912541,44551001,7912541,44551001,22087457,35439319,22087457,35439319,7987541
30249811,3003803,49740512,3003803,49740512,26996196,30249811,26996196,30249811,3078803
35158549,7912541,44831773,7912541,44831773,22087457,35158549,22087457,35158549,7987541
29969041,3003803,50021284,3003803,50021284,26996196,29969041,26996196,29969041,3078803
34877779,7912541,45112545,7912541,45112545,22087457,34877779,22087457,34877779,7987541
29688269,3003803,50302052,3003803,50302052,26996196,29688269,26996196,29688269,3078803
34597007,7912541,45393313,7912541,45393313,22087457,34597007,22087457,34597007,7987541
29407499,3003803,50582824,3003803,50582824,26996196,29407499,26996196,29407499,3078803
34316237,7912541,45674085,7912541,45674085,22087457,34316237,22087457,34316237,7987541
29126729,3003803,50863596,3003803,50863596,26996196,29126729,26996196,29126729,3078803
34035467,7912541,45954857,7912541,45954857,22087457,34035467,22087457,34035467,7987541
38944205,12821279,41046118,12821279,41046118,17178718,38944205,17178718,38944205,12896279
28845959,3003803,51144364,3003803,51144364,26996196,28845959,26996196,28845959,3078803
33754697,7912541,46235625,7912541,46235625,22087457,33754697,22087457,33754697,7987541
38663435,12821279,41326886,12821279,41326886,17178718,38663435,17178718,38663435,12896279
28565187,3003803,51425136,3003803,51425136,26996196,28565187,26996196,28565187,3078803
33473925,7912541,46516397,7912541,46516397,22087457,33473925,22087457,33473925,7987541
38382663,12821279,41607658,12821279,41607658,17178718,38382663,17178718,38382663,12896279
28305969,3003803,51684356,3003803,51684356,26996196,28305969,26996196,28305969,3078803
33214707,7912541,46775617,7912541,46775617,22087457,33214707,22087457,33214707,7987541
38123445,12821279,41866878,12821279,41866878,17178718,38123445,17178718,38123445,12896279
28072295,3003803,51918028,3003803,51918028,26996196,28072295,26996196,28072295,3078803
32981033,7912541,47009289,7912541,47009289,22087457,32981033,22087457,32981033,7987541
37889771,12821279,42100550,12821279,42100550,17178718,37889771,17178718,37889771,12896279
27838621,3003803,52151704,3003803,52151704,26996196,27838621,26996196,27838621,3078803
32747359,7912541,47242965,7912541,47242965,22087457,32747359,22087457,32747359,7987541
37656097,12821279,42334226,12821279,42334226,17178718,37656097,17178718,37656097,12896279
27604947,3003803,52385380,3003803,52385380,26996196,27604947,26996196,27604947,3078803
32513685,7912541,47476641,7912541,47476641,22087457,32513685,22087457,32513685,7987541
37422423,12821279,42567902,12821279,42567902,17178718,37422423,17178718,37422423,12896279
27371271,3003803,52619052,3003803,52619052,26996196,27371271,26996196,27371271,3078803
32280009,7912541,47710313,7912541,47710313,22087457,32280009,22087457,32280009,7987541
37188747,12821279,42801574,12821279,42801574,17178718,37188747,17178718,37188747,12896279
27137597,3003803,52852728,3003803,52852728,26996196,27137597,26996196,27137597,3078803
32046335,7912541,47943989,7912541,47943989,22087457,32046335,22087457,32046335,7987541
36955073,12821279,43035250,12821279,43035250,17178718,36955073,17178718,36955073,12896279
26903923,3003803,53086404,3003803,53086404,26996196,26903923,26996196,26903923,3078803
31812661,7912541,48177665,7912541,48177665,22087457,31812661,22087457,31812661,7987541
36721399,12821279,43268926,12821279,43268926,17178718,36721399,17178718,36721399,12896279
26670247,3003803,53320076,3003803,53320076,26996196,26670247,26996196,26670247,3078803
31578985,7912541,48411337,7912541,48411337,22087457,31578985,22087457,31578985,7987541
36487723,12821279,43502598,12821279,43502598,17178718,36487723,17178718,36487723,12896279
26436573,3003803,53553752,3003803,53553752,26996196,26436573,26996196,26436573,3078803
31345311,7912541,48645013,7912541,48645013,22087457,31345311,22087457,31345311,7987541
36254049,12821279,43736274,12821279,43736274,17178718,36254049,17178718,36254049,12896279
26202899,3003803,53787428,3003803,53787428,26996196,26202899,26996196,26202899,3078803
31111637,7912541,48878689,7912541,48878689,22087457,31111637,22087457,31111637,7987541
36020375,12821279,43969950,12821279,43969950,17178718,36020375,17178718,36020375,12896279
25992727,3003803,53997596,3003803,53997596,26996196,25992727,26996196,25992727,3078803
30901465,7912541,49088857,7912541,49088857,22087457,30901465,22087457,30901465,7987541
35810203,12821279,44180118,12821279,44180118,17178718,35810203,17178718,35810203,12896279
25794181,3003803,54196144,3003803,54196144,26996196,25794181,26996196,25794181,3078803
30702919,7912541,49287405,7912541,49287405,22087457,30702919,22087457,30702919,7987541
35611657,12821279,44378666,12821279,44378666,17178718,35611657,17178718,35611657,12896279
25595635,3003803,54394688,3003803,54394688,26996196,25595635,26996196,25595635,3078803
30504373,7912541,49485949,7912541,49485949,22087457,30504373,22087457,30504373,7987541
35413111,12821279,44577210,12821279,44577210,17178718,35413111,17178718,35413111,12896279
25397089,3003803,54593236,3003803,54593236,26996196,25397089,26996196,25397089,3078803
30305827,7912541,49684497,7912541,49684497,22087457,30305827,22087457,30305827,7987541
35214565,12821279,44775758,12821279,44775758,17178718,35214565,17178718,35214565,12896279
25198543,3003803,54791780,3003803,54791780,26996196,25198543,26996196,25198543,3078803
30107281,7912541,49883041,7912541,49883041,22087457,30107281,22087457,30107281,7987541
35016019,12821279,44974302,12821279,44974302,17178718,35016019,17178718,35016019,12896279
